COLOR,id_COLOR
Black/Black/Pepper Red/Vivid Orange,346
Black/Black/Polar,347
Black/Black/Pure,348
Black/Black/Pure Platinum,349
Black/Black/Reflect Silver/Black,350
Black/Black/Safety Orange,351
Black/Black/Sail,352
Black/Black/Signal Blue/University Red,353
Black/Black/Silver,354
Black/Black/Siren Red/Siren Red,355
Black/Black/Smoke Grey,356
Black/Black/Stealth,357
Black/Black/Summit White,358
Black/Black/Total Orange,359
Black/Black/Total Orange/Total Orange,360
Black/Black/Tour Yellow/White,361
Black/Black/Truly Gold,362
Black/Black/University Gold,363
Black/Black/University Red,364
Black/Black/Varsity Maize,365
Black/Black/Venom Green,366
Black/Black/Vivid Orange,367
Black/Black/Volt,368
Black/Black/Volt/Black,369
Black/Black/Volt/White,370
Black/Black/White,371
Black/Black/White/Black,372
Black/Black/White/White,373
Black/Black/Wolf Grey/Cool Grey,374
Black/Bleached Coral/White,375
Black/Blue Glow/Pink Prime/White,376
Black/Bordeaux/White/Metallic Gold,377
Black/Bright Crimson,378
Black/Bright Crimson/Mystic Stone,379
Black/Bright Crimson/Pale Coral/Bright Crimson,380
Black/Bright Crimson/Summit White,381
Black/Bright Crimson/Volt/Black,382
Black/Bright Crimson/White,383
Black/Bright Spruce/Oil Green/Mint Foam,384
Black/Brushed Silver,385
Black/Burnt Sunrise/Anthracite/Phantom,386
Black/Burnt Sunrise/Pink Prime/Phantom,387
Black/Carbon Heather/Gym Red,388
Black/Cashmere,389
Black/Cave Purple,390
Black/Cave Purple/Brushed Silver,391
Black/Cave Purple/Lilac/Hyper Pink,392
Black/Celestine Blue/Peach Cream/Metallic Gold,393
Black/Cement Grey/Gym Red,394
Black/Cement Grey/Metallic Silver/White,395
Black/Challenge Red/Challenge Red,396
Black/Chile Red,397
Black/Chile Red/Chile Red,398
Black/Chile Red/White,399
Black/Chlorine Blue/Blue Orbit/White,400
Black/Cinnabar,401
Black/Cinnabar/Concord/Bright Crimson,402
Black/Clear,403
Black/Club Gold/White/Club Gold,404
Black/Coast/Amarillo/Field Purple,405
Black/Coconut Milk,406
Black/Concord/Cinnabar/Football Grey,407
Black/Cool Grey/Cool Grey,408
Black/Cool Grey/White,409
Black/Cool Grey/White/Green Strike,410
Black/Court Purple/Venom Green/Venom Green,411
Black/Cyber/Cyber,412
Black/Dark Concord/White/True Red,413
Black/Dark Driftwood/Hazel Rush/White,414
Black/Dark Driftwood/White,415
Black/Dark Grey,416
Black/Dark Grey Heather/White,417
Black/Dark Grey/Black,418
Black/Dark Grey/Black/White,419
Black/Dark Grey/Siren Red,420
Black/Dark Grey/White,421
Black/Dark Grey/White/Siren Red,422
